Date	URL	Anchor text	Engine	Type	DoFollow Link	I	Links (int)	Links (ext)	Project	Link URL	Live Check	IP	Google PageRank	Login	Password	E-Mail	Country	IP
2025-01-15 23:17	http://%BF%C2%BD.xn%C3%AF%C2%BF%C2%%0ABD.U.K37@cgi.Members.Interq.or.jp/ox/shogo/ONEE/g_book/g_book.cgi	[empty]	General Blogs	Blog Comment		1	2	25	indic.cz	https://indic.cz/	2025-01-15 23:17		0				Japan	0.0.0.0
2025-01-15 22:05	http://&mdash;.U.K37@cgi.members.interq.or.jp/ox/shogo/ONEE/g_book/g_book.cgi?action=registerhttp://www.campusvirtual.unt.edu.ar/blog/index.php%3Fpostid=11	[empty]	General Blogs	Blog Comment		1	2	24	indic.cz	https://indic.cz/	2025-01-15 22:05		0				Japan	0.0.0.0
2025-01-15 09:56	http://--.U.K37@cgi.members.interq.or.jp/ox/shogo/ONEE/g_book/g_book.cgi	[empty]	General Blogs	Blog Comment		1	2	24	indic.cz	https://indic.cz/	2025-01-15 09:56		0				Japan	0.0.0.0
2025-01-15 22:14	http://-.U.K37@cgi.members.interq.or.jp/ox/shogo/ONEE/g_book/g_book.cgi?action=registerhttp://www.ca	[empty]	General Blogs	Blog Comment		1	2	24	indic.cz	https://indic.cz/	2025-01-15 22:14		0				Japan	0.0.0.0
2025-01-15 20:08	http://-.U.K37@cgi.members.interq.or.jp/ox/shogo/ONEE/g_book/g_book.cgi?action=registerhttp://www.campusvirtual.unt.edu	[empty]	General Blogs	Blog Comment		1	2	24	indic.cz	https://indic.cz/	2025-01-15 20:08		0				Japan	0.0.0.0
2025-01-16 00:04	http://-.Xn--.U.K37@cgi.members.interq.or.jp/ox/shogo/ONEE/g_book/g_book.cgi	[empty]	General Blogs	Blog Comment		1	2	24	indic.cz	https://indic.cz/	2025-01-16 00:04		0				Japan	0.0.0.0
2025-01-16 14:52	http://-.Xn--.U.K37@cgi.members.interq.or.jp/ox/shogo/ONEE/g_book/g_book.cgi?action&eq;registerhttp://www.campusvirtual.unt.edu	[empty]	General Blogs	Blog Comment		1	2	24	indic.cz	https://indic.cz/	2025-01-16 14:52		0				Japan	0.0.0.0
2025-01-15 15:04	http://-.Xn--.U.K37@cgi.members.interq.or.jp/ox/shogo/ONEE/g_book/g_book.cgi?action=registerhttp://w	[empty]	General Blogs	Blog Comment		1	2	24	indic.cz	https://indic.cz/	2025-01-15 15:04		0				Japan	0.0.0.0
2025-01-15 03:18	http://.Angn.I.Ub.I.Xn--.Xn--.U.K37@cgi.members.interq.or.jp/ox/shogo/ONEE/g_book/g_book.cgi?action=	[empty]	General Blogs	Blog Comment		1	2	24	indic.cz	https://indic.cz/	2025-01-15 03:18		0				Japan	0.0.0.0
2025-01-15 19:05	http://.Angn.I.Ub.I.Xn--.Xn--.U.K37@cgi.members.interq.or.jp/ox/shogo/ONEE/g_book/g_book.cgi?action=registerwww.campusvirtual.unt.edu.ar/blog/index.php%3Fpostid=11375https:/	[empty]	General Blogs	Blog Comment		1	2	24	indic.cz	https://indic.cz/	2025-01-15 19:05		0				Japan	0.0.0.0
2025-01-15 06:11	http://.Feng.Ku.Angn.I.Ub.I.Xn--.Xn--.U.K37@cgi.members.interq.or.jp/ox/shogo/ONEE/g_book/g_book.cgi?action=registerhttp://www.campusvirtual.unt.edu.ar/blog/index.php%3Fpostid=11375https://shemale-x	[empty]	General Blogs	Blog Comment		1	2	24	indic.cz	https://indic.cz/	2025-01-15 06:11		0				Japan	0.0.0.0
2025-01-15 13:13	http://.I.Ub.I.Xn%C3%AF%C2%BF%C2%BD.xn%C3%AF%C2%BF%C2%BD.U.K37@cgi.Members.Interq.or.jp/ox/shogo/ONEE/g_book/g_book.cgi	[empty]	General Blogs	Blog Comment		1	1	21	indic.cz	https://indic.cz/	2025-01-15 13:13		0				Japan	0.0.0.0
